time,temperature,elevation
2023-06-01 00:00:00,13.198090956013417,1200
2023-06-01 01:00:00,11.458825193723905,1200
2023-06-01 02:00:00,11.812058813641393,1200
2023-06-01 03:00:00,11.549933222138392,1200
2023-06-01 04:00:00,13.368564724951554,1200
2023-06-01 05:00:00,13.127940211370651,1200
2023-06-01 06:00:00,14.524714511819887,1200
2023-06-01 07:00:00,14.766836651178265,1200
2023-06-01 08:00:00,17.537231836563556,1200
2023-06-01 09:00:00,18.38796521872718,1200
2023-06-01 10:00:00,19.666717421624305,1200
2023-06-01 11:00:00,20.86339302925588,1200
2023-06-01 12:00:00,22.17421603244338,1200
2023-06-01 13:00:00,21.392235501613108,1200
2023-06-01 14:00:00,21.603763571457254,1200
2023-06-01 15:00:00,21.83974916536022,1200
2023-06-01 16:00:00,21.006404942412193,1200
2023-06-01 17:00:00,20.892911493955232,1200
2023-06-01 18:00:00,19.872335555617077,1200
2023-06-01 19:00:00,17.680317712809856,1200
2023-06-01 20:00:00,16.704456463256633,1200
2023-06-01 21:00:00,16.337073635578808,1200
2023-06-01 22:00:00,15.04736036916113,1200
2023-06-01 23:00:00,13.436889643680434,1200
2023-06-02 00:00:00,13.52304514881027,1200
2023-06-02 01:00:00,13.009300266312133,1200
2023-06-02 02:00:00,12.486525432152618,1200
2023-06-02 03:00:00,12.262731679564618,1200
2023-06-02 04:00:00,12.703969764749216,1200
2023-06-02 05:00:00,13.918776642415713,1200
2023-06-02 06:00:00,13.936578197978978,1200
2023-06-02 07:00:00,15.668744629367998,1200
2023-06-02 08:00:00,16.597590115829856,1200
2023-06-02 09:00:00,18.434357133424307,1200
2023-06-02 10:00:00,19.093334336259506,1200
2023-06-02 11:00:00,21.033599439948286,1200
2023-06-02 12:00:00,21.391120514173068,1200
2023-06-02 13:00:00,22.129235139827493,1200
2023-06-02 14:00:00,22.77745940955184,1200
2023-06-02 15:00:00,22.196781678579093,1200
2023-06-02 16:00:00,20.883281222991666,1200
2023-06-02 17:00:00,20.42150746332581,1200
2023-06-02 18:00:00,20.21037727941172,1200
2023-06-02 19:00:00,18.303070215175435,1200
2023-06-02 20:00:00,17.525016660212028,1200
2023-06-02 21:00:00,16.085807425890007,1200
2023-06-02 22:00:00,14.614668576130974,1200
2023-06-02 23:00:00,13.898949245711396,1200
2023-06-03 00:00:00,13.594330292151925,1200
2023-06-03 01:00:00,11.536589552239851,1200
2023-06-03 02:00:00,11.59615355255368,1200
2023-06-03 03:00:00,12.504150709631693,1200
2023-06-03 04:00:00,12.653210966037696,1200
2023-06-03 05:00:00,12.846232556255199,1200
2023-06-03 06:00:00,14.151996523735749,1200
2023-06-03 07:00:00,15.841701227649727,1200
2023-06-03 08:00:00,17.051853253091235,1200
2023-06-03 09:00:00,17.859753299846464,1200
2023-06-03 10:00:00,19.729351352938114,1200
2023-06-03 11:00:00,21.101180131537394,1200
2023-06-03 12:00:00,20.9331095143282,1200
2023-06-03 13:00:00,21.837892225519266,1200
2023-06-03 14:00:00,22.172309230632628,1200
2023-06-03 15:00:00,22.05448478746142,1200
2023-06-03 16:00:00,22.198988973960365,1200
2023-06-03 17:00:00,21.1524054132954,1200
2023-06-03 18:00:00,19.471134530219704,1200
2023-06-03 19:00:00,18.679567173002315,1200
2023-06-03 20:00:00,16.17456940536526,1200
2023-06-03 21:00:00,15.591906262291369,1200
2023-06-03 22:00:00,13.292332963954884,1200
2023-06-03 23:00:00,12.78052023760549,1200
