id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
3810,,Langenlois,15.7,48.466667,210.0,1965-01-01 00:00:00+00:00,1989-10-31 00:00:00+00:00,Niederösterreich,True,False,,52,1965-01-01 00:00:00+00:00,1989-10-31 23:59:59+00:00,nein
3811,11075,Langenlois,15.69722,48.4725,207.0,1989-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,52,1989-11-01 00:00:00+00:00,,nein
3930,,Heiligeneich,15.9,48.299999,199.0,1971-01-01 00:00:00+00:00,1977-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
4026,11027,Stockerau Flugplatz,16.190861,48.409833,210.0,2023-05-11 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,221,2023-05-11 00:00:00+00:00,,nein
4030,8989109,Stockerau,16.19261,48.39689,203.3,1997-06-01 00:00:00+00:00,2024-06-11 00:00:00+00:00,Niederösterreich,True,True,,221,1997-06-01 00:00:00+00:00,2023-05-10 23:59:59+00:00,nein
4065,,Korneuburg Dabschkaserne,16.330555,48.359444,169.0,1994-09-01 00:00:00+00:00,1995-11-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
4071,,Korneuburg,16.316668,48.349998,170.0,1988-07-01 00:00:00+00:00,1989-01-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
4080,,Langenlebarn,16.11917,48.32444,175.0,1963-01-01 00:00:00+00:00,1992-09-30 00:00:00+00:00,Niederösterreich,True,False,,51,1963-01-01 00:00:00+00:00,1992-09-30 23:59:59+00:00,nein
4081,11030,Langenlebarn,16.11806,48.32389,175.3,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,51,1992-10-01 00:00:00+00:00,,nein
4102,,Wien Kahlenberg,16.333334,48.266666,481.0,1936-01-01 00:00:00+00:00,1973-02-28 00:00:00+00:00,Wien,False,False,,,,,nein
4115,11042,Wien Stammersdorf,16.40556,48.30581,190.7,2008-12-09 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
4120,,Wien Strebersdorf,16.383333,48.299999,169.0,1936-01-01 00:00:00+00:00,1969-07-31 00:00:00+00:00,Wien,False,False,,,,,nein
4125,8989105,Wolkersdorf,16.5075,48.38028,184.9,2008-07-23 00:00:00+00:00,2024-10-08 00:00:00+00:00,Niederösterreich,True,True,,222,2008-07-23 00:00:00+00:00,2023-06-19 08:59:59+00:00,nein
4126,11045,Wolkersdorf,16.508889,48.388056,174.0,2023-06-19 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,222,2023-06-19 09:00:00+00:00,,nein
4170,,Schleinbach,16.433332,48.583332,199.0,1958-01-01 00:00:00+00:00,1982-04-30 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
4200,,Groß-Schweinbarth,16.65,48.416668,180.0,1981-01-01 00:00:00+00:00,1985-10-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
4220,,Obersiebenbrunn,16.700001,48.266666,150.0,1965-07-01 00:00:00+00:00,1988-11-30 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
4221,,Gänserndorf,16.687222,48.31139,163.0,1989-01-01 00:00:00+00:00,2000-08-31 00:00:00+00:00,Niederösterreich,True,False,,134,1989-01-01 00:00:00+00:00,2000-08-31 23:59:59+00:00,nein
4223,,Gänserndorf,16.715,48.338612,167.0,2001-08-01 00:00:00+00:00,2003-12-31 00:00:00+00:00,Niederösterreich,False,False,,134,2001-08-01 00:00:00+00:00,2003-12-31 23:59:59+00:00,nein
4224,11048,Gänserndorf Stadt,16.71361,48.33778,163.0,2002-11-12 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,134,2004-01-01 00:00:00+00:00,,nein
4305,11085,Zwerndorf,16.83139,48.33806,143.5,1996-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
4500,,Ranshofen,13.033334,48.216667,382.0,1961-01-01 00:00:00+00:00,1989-12-31 00:00:00+00:00,Oberösterreich,False,False,,75,1961-01-01 00:00:00+00:00,1989-12-31 23:59:59+00:00,nein
4501,11051,Ranshofen Braunau,13.02833,48.22417,382.0,1994-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,75,1994-07-01 00:00:00+00:00,,nein
4510,,Feldkirchen bei Mattighofen,13.05,48.083332,528.0,1977-06-01 00:00:00+00:00,1997-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
4515,11061,Ostermiething,12.83167,48.05306,412.0,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4600,,Aspach,13.297222,48.183887,440.0,1969-09-01 00:00:00+00:00,2007-03-31 00:00:00+00:00,Oberösterreich,True,False,,162,1969-09-01 00:00:00+00:00,2007-03-31 23:59:59+00:00,nein
4601,11062,Aspach,13.3,48.18306,427.0,2009-07-08 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,162,2009-07-08 00:00:00+00:00,,nein
4610,,Mattighofen,13.15,48.116665,451.0,1936-01-01 00:00:00+00:00,1951-10-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
4611,11049,Mattighofen,13.15111,48.09722,459.8,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4700,,Ried im Innkreis,13.483334,48.216667,435.0,1936-01-01 00:00:00+00:00,1997-12-31 00:00:00+00:00,Oberösterreich,False,False,,141,1936-01-01 00:00:00+00:00,1997-12-31 23:59:59+00:00,nein
4705,11053,Ried im Innkreis,13.475,48.21722,427.0,1997-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,141,1998-01-01 00:00:00+00:00,,nein
4800,,Gallspach,13.816667,48.200001,400.0,1966-11-01 00:00:00+00:00,1990-04-30 00:00:00+00:00,Oberösterreich,True,False,,27,1966-11-01 00:00:00+00:00,1990-04-30 23:59:59+00:00,nein
4801,,Gallspach,13.811666,48.209999,368.0,1990-06-01 00:00:00+00:00,2008-06-30 00:00:00+00:00,Oberösterreich,True,False,,27,1990-06-01 00:00:00+00:00,2008-06-30 23:59:59+00:00,nein
4802,11067,Gallspach,13.825,48.20422,425.9,2012-04-13 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,27,2012-04-16 00:00:00+00:00,,nein
4810,,Wolfsegg,13.67583,48.10583,634.0,1951-11-11 00:00:00+00:00,1995-05-31 00:00:00+00:00,Oberösterreich,True,False,,111,1951-11-11 00:00:00+00:00,1995-05-31 23:59:59+00:00,nein
4815,11001,Wolfsegg,13.67092,48.10542,635.1,1995-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,111,1995-06-01 00:00:00+00:00,,nein
4821,11056,Vöcklabruck,13.645833,48.0075,434.0,2008-09-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
4900,,Lambach,13.867222,48.09639,360.0,1952-03-01 00:00:00+00:00,2006-12-31 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
4905,11059,Wels-Schleißheim,14.07139,48.16278,309.0,1983-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
5000,11010,Linz Hörsching Flughafen,14.18806,48.23528,298.0,1942-05-15 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,False,,,,,nein
5010,,Kremsmünster,14.13222,48.05527,383.0,1874-01-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich,True,False,,204,1874-01-01 00:00:00+00:00,2008-12-31 23:59:59+00:00,nein
5012,11012,Kremsmünster,14.13111,48.055,382.0,1988-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,204,2009-01-01 00:00:00+00:00,,nein
5101,,Enns,14.483334,48.216667,317.0,1948-01-01 00:00:00+00:00,1988-07-31 00:00:00+00:00,Oberösterreich,True,False,,23,1948-01-01 00:00:00+00:00,1988-07-31 23:59:59+00:00,nein
5103,,Enns Stadt,14.483334,48.216667,317.0,1988-08-01 00:00:00+00:00,1993-10-31 00:00:00+00:00,Oberösterreich,True,False,,23,1988-08-01 00:00:00+00:00,1993-10-31 23:59:59+00:00,nein
5110,,Steyr,14.433333,48.033333,336.0,1948-01-01 00:00:00+00:00,1980-12-31 00:00:00+00:00,Oberösterreich,False,True,,,,,nein
5111,,Steyr Stadtgut,14.433333,48.066666,309.0,1956-01-01 00:00:00+00:00,1984-10-31 00:00:00+00:00,Oberösterreich,True,True,,,,,nein
5112,,Wachtberg bei Steyr,14.461945,48.048054,392.0,1985-04-01 00:00:00+00:00,2008-07-31 00:00:00+00:00,Niederösterreich,True,False,,192,1985-04-01 00:00:00+00:00,2008-07-31 23:59:59+00:00,nein
5116,11374,Wachtberg bei Steyr,14.46111,48.0475,384.0,2008-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,192,2008-08-01 00:00:00+00:00,,nein
5130,11002,Enns,14.45028,48.19583,317.0,2008-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,23,2008-07-01 00:00:00+00:00,,nein
5200,,Haag,14.616667,48.116665,408.0,1983-10-01 00:00:00+00:00,1986-04-30 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
5300,,Amstetten Gießhübl,14.9,48.1,318.0,1970-10-01 00:00:00+00:00,1986-09-30 00:00:00+00:00,Niederösterreich,True,False,,4,1977-01-01 00:00:00+00:00,1986-09-30 23:59:59+00:00,nein
5301,,Amstetten,14.86667,48.11667,328.0,1936-01-01 00:00:00+00:00,1977-11-21 00:00:00+00:00,Niederösterreich,True,False,,4,1936-01-01 00:00:00+00:00,1976-12-31 23:59:59+00:00,nein
5302,,Amstetten Allersdorf,14.86667,48.11667,275.0,1986-08-01 00:00:00+00:00,1988-12-31 00:00:00+00:00,Niederösterreich,True,False,,4,1986-10-01 00:00:00+00:00,1988-12-31 23:59:59+00:00,nein
5304,,Amstetten Greinsfurth,14.85,48.1,282.0,1989-08-01 00:00:00+00:00,1989-09-30 00:00:00+00:00,Niederösterreich,True,False,,4,1989-08-01 00:00:00+00:00,1989-09-30 23:59:59+00:00,nein
5310,,Randegg,14.966666,48.016666,360.0,1977-05-01 00:00:00+00:00,1985-02-28 00:00:00+00:00,Niederösterreich,False,False,,74,1977-05-05 00:00:00+00:00,1985-02-28 23:59:59+00:00,nein
5311,,Randegg,14.966666,48.0,362.0,1985-03-01 00:00:00+00:00,1986-09-30 00:00:00+00:00,Niederösterreich,False,False,,74,1985-03-01 00:00:00+00:00,1986-09-30 23:59:59+00:00,nein
5312,,Randegg,14.983334,48.008888,363.0,1986-10-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,False,False,,74,1986-10-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
5315,11018,Amstetten Kläranlage,14.89861,48.10806,265.0,1993-02-01 00:00:00+00:00,2000-06-30 00:00:00+00:00,Niederösterreich,True,True,,4,1993-02-01 00:00:00+00:00,2000-06-30 23:59:59+00:00,nein
5316,11018,Amstetten,14.895,48.10889,266.0,2000-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,4,2000-07-01 00:00:00+00:00,,nein
5320,,Ybbs Persenbeug,15.066667,48.183334,231.0,1956-04-01 00:00:00+00:00,1994-12-31 00:00:00+00:00,Niederösterreich,False,True,,,,,nein
5400,,Melk,15.354167,48.209167,240.0,1974-08-01 00:00:00+00:00,1995-02-28 00:00:00+00:00,Niederösterreich,True,False,,189,1974-08-01 00:00:00+00:00,1995-02-28 23:59:59+00:00,nein
5410,,Oberndorf an der Melk,15.215278,48.063889,297.0,1977-11-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,True,False,,155,1977-11-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
5412,11376,Oberndorf an der Melk,15.21381,48.06239,295.1,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,155,2008-01-01 00:00:00+00:00,,nein
5413,11054,Melk,15.33139,48.20972,307.0,2008-09-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,189,2008-09-25 00:00:00+00:00,,nein
5421,11379,Wieselburg,15.14672,48.12731,258.7,2007-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5430,,Petzenkirchen,15.15,48.150002,252.0,1946-05-01 00:00:00+00:00,1978-04-30 00:00:00+00:00,Niederösterreich,False,True,,,,,nein
5600,,St. Pölten Hesserkaserne,15.616667,48.200001,272.0,1979-04-01 00:00:00+00:00,1993-12-31 00:00:00+00:00,Niederösterreich,True,False,,93,1979-04-01 00:00:00+00:00,1993-12-31 23:59:59+00:00,nein
5601,,St. Pölten Viehofen,15.616667,48.216667,274.0,1947-01-01 00:00:00+00:00,1955-08-31 00:00:00+00:00,Niederösterreich,False,False,,93,1947-01-01 00:00:00+00:00,1955-08-31 23:59:59+00:00,nein
5604,,St. Pölten Kopalkaserne,15.611111,48.180279,285.0,1994-01-01 00:00:00+00:00,2005-06-13 00:00:00+00:00,Niederösterreich,True,True,,93,1994-01-01 00:00:00+00:00,2003-06-30 23:59:59+00:00,nein
5606,,St. Pölten Kopalkaserne,15.611111,48.180279,282.0,1994-01-01 00:00:00+00:00,1994-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
5607,,St. Pölten Wallseer Straße,15.622222,48.194168,277.0,1955-09-01 00:00:00+00:00,1979-03-31 00:00:00+00:00,Niederösterreich,True,False,,93,1955-09-01 00:00:00+00:00,1979-03-31 23:59:59+00:00,nein
5609,11389,St. Pölten Landhaus,15.63111,48.19972,273.6,2003-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,93,2003-07-01 00:00:00+00:00,,nein
5610,,Traisen,15.616667,48.033333,340.0,1955-10-01 00:00:00+00:00,1982-10-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5611,,Eschenau an der Traisen,15.583333,48.049999,520.0,1982-11-01 00:00:00+00:00,1994-06-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5620,,Lilienfeld,15.583333,48.016666,582.0,1936-01-01 00:00:00+00:00,1958-09-01 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5625,11078,Lilienfeld-Tarschberg,15.5875,48.02806,696.0,1992-08-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5650,,Hainfeld Kasberg,15.806111,48.067501,600.0,1993-12-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5700,,Altenmarkt an der Triesting,16.0,48.016666,397.0,1955-09-09 00:00:00+00:00,1992-06-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5701,11391,Klausen Leopoldsdorf,16.00161,48.08864,389.0,2007-12-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5710,,St. Christophen,15.883333,48.183334,247.0,1983-10-01 00:00:00+00:00,1984-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5720,,Kohlreith,15.933611,48.170555,501.0,1986-01-01 00:00:00+00:00,2001-06-30 00:00:00+00:00,Niederösterreich,False,False,,125,1986-01-01 00:00:00+00:00,2001-06-30 23:59:59+00:00,nein
5725,11031,Kohlreithberg,15.935278,48.175835,490.0,2001-06-01 00:00:00+00:00,2010-06-22 00:00:00+00:00,Niederösterreich,True,True,,125,2001-07-01 00:00:00+00:00,2010-06-17 23:59:59+00:00,nein
5735,11066,Buchberg,15.94495,48.21362,460.3,2009-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5740,,Gerichtsberg/Araburg,15.883333,48.016666,618.0,1987-08-01 00:00:00+00:00,1989-01-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5802,11044,Wien Jubliäumswarte,16.26528,48.22111,450.0,2009-09-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5804,,Wien Mariabrunn,16.233334,48.200001,226.0,1936-01-01 00:00:00+00:00,1994-09-30 00:00:00+00:00,Wien,False,False,,106,1936-01-01 00:00:00+00:00,1994-09-30 23:59:59+00:00,nein
5805,11080,Wien Mariabrunn,16.22944,48.20694,225.0,1997-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,106,1997-01-16 00:00:00+00:00,,nein
5808,,Wien Schönbrunn,16.316668,48.166668,232.0,1951-10-01 00:00:00+00:00,1965-12-31 00:00:00+00:00,Wien,False,False,,,,,nein
5820,11077,Brunn am Gebirge,16.27,48.10694,290.6,2008-09-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
5855,,Wiener Neudorf,16.311111,48.075554,203.0,1966-12-01 00:00:00+00:00,1968-05-01 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5870,11081,Baden,16.235556,48.011391,244.8,1982-12-01 00:00:00+00:00,2012-05-31 00:00:00+00:00,Niederösterreich,True,False,,12,1982-12-01 00:00:00+00:00,2012-05-31 23:59:59+00:00,nein
5871,,Baden,16.233334,48.016666,260.0,1954-04-01 00:00:00+00:00,1982-11-30 00:00:00+00:00,Niederösterreich,True,False,,12,1954-04-01 00:00:00+00:00,1982-11-30 23:59:59+00:00,nein
5880,,Gumpoldskirchen,16.283333,48.033333,222.0,1948-05-01 00:00:00+00:00,1987-12-31 00:00:00+00:00,Niederösterreich,False,False,,32,1948-05-01 00:00:00+00:00,1987-12-31 23:59:59+00:00,nein
5881,11082,Gumpoldskirchen,16.28222,48.04028,219.0,1990-11-01 00:00:00+00:00,2018-04-01 00:00:00+00:00,Niederösterreich,True,True,,32,1990-11-01 00:00:00+00:00,2018-03-28 23:59:59+00:00,nein
5882,11082,Gumpoldskirchen,16.28083,48.03583,212.0,2018-03-28 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,32,2018-03-29 00:00:00+00:00,,nein
5890,,Breitenfurt,16.133333,48.150002,437.0,1981-01-01 00:00:00+00:00,1986-03-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
5901,,Wien Hohe Warte,16.35639,48.24861,203.0,1872-05-01 00:00:00+00:00,1992-12-31 00:00:00+00:00,Wien,True,True,,105,1872-05-01 00:00:00+00:00,1992-12-31 23:59:59+00:00,nein
5902,,Wien Favoriten,16.370832,48.193611,177.0,1852-09-01 00:00:00+00:00,1872-04-30 00:00:00+00:00,Wien,False,False,,105,1852-09-01 00:00:00+00:00,1872-04-30 23:59:59+00:00,nein
5904,11033,Wien Hohe Warte,16.35639,48.24861,198.0,1934-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,105,1993-01-01 00:00:00+00:00,,nein
5905,,Wien alte Universität,16.366667,48.216667,175.0,1775-01-01 00:00:00+00:00,1873-12-31 00:00:00+00:00,Wien,False,False,,105,1775-01-01 00:00:00+00:00,1852-08-31 23:59:59+00:00,nein
5916,,Wien Unterlaa,16.422777,48.127499,200.0,1963-10-01 00:00:00+00:00,1995-12-31 00:00:00+00:00,Wien,False,False,,107,1963-10-01 00:00:00+00:00,1995-12-31 23:59:59+00:00,nein
5917,11040,Wien Unterlaa,16.41944,48.125,200.0,1996-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,107,1996-01-01 00:00:00+00:00,,nein
5925,11034,Wien Innere Stadt,16.36694,48.19833,177.0,1985-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5935,11090,Wien Donaufeld,16.43139,48.25722,160.0,1996-07-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Wien,True,True,,,,,nein
5950,,Hennersdorf,16.366667,48.116665,183.0,1968-06-01 00:00:00+00:00,1971-02-28 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5963,,Wien Hohe Warte Hannhütte,16.355833,48.248611,198.0,1951-01-01 00:00:00+00:00,1987-12-31 00:00:00+00:00,Wien,False,False,,,,,nein
5965,,Wien Hohe Warte (21 Uhr Termine),16.351944,48.235832,202.0,1971-01-01 00:00:00+00:00,1987-12-31 00:00:00+00:00,Wien,True,False,,,,,nein
5970,,Groß-Enzersdorf,16.566668,48.200001,153.0,1936-01-01 00:00:00+00:00,1991-02-28 00:00:00+00:00,Niederösterreich,True,False,,31,1936-01-01 00:00:00+00:00,1990-12-31 23:59:59+00:00,nein
5972,11037,Groß-Enzersdorf,16.55917,48.19975,154.3,1989-06-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,31,1991-01-01 00:00:00+00:00,,nein
5980,,Münchendorf,16.4,48.033333,184.0,1961-06-08 00:00:00+00:00,1986-04-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
5990,11036,Schwechat Flughafen,16.58139,48.1175,183.0,1948-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
6010,,Franzensdorf,16.65,48.200001,153.0,1979-04-13 00:00:00+00:00,1986-06-30 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
6020,,Fuchsenbigl,16.748056,48.191944,149.0,1946-04-14 00:00:00+00:00,2007-11-30 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
6050,,Fischamend,16.613611,48.09861,159.0,1984-08-01 00:00:00+00:00,2004-06-09 00:00:00+00:00,Niederösterreich,False,True,,,,,nein
6100,,Prellenkirchen,16.950001,48.066666,178.0,1981-01-01 00:00:00+00:00,1981-02-28 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
6101,,Bruckneudorf Heidehof,16.846666,48.014721,167.0,1939-01-01 00:00:00+00:00,2007-12-31 00:00:00+00:00,Burgenland,False,False,,18,1939-01-01 00:00:00+00:00,2007-12-31 23:59:59+00:00,nein
6102,11394,Bruckneudorf,16.845,48.01278,165.6,2007-11-28 00:00:00+00:00,2100-12-31 00:00:00+00:00,Burgenland,True,True,,18,2008-01-01 00:00:00+00:00,,nein
6110,,Bad Deutsch-Altenburg,16.916666,48.099998,182.0,1936-01-01 00:00:00+00:00,1971-10-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
6111,11046,Bad Deutsch-Altenburg,16.90675,48.13647,168.6,2010-05-27 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,False,,,,,nein
6300,11150,Salzburg Flughafen,13.00861,47.78944,430.0,1939-03-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,131,1939-03-01 00:00:00+00:00,,nein
6304,,Salzburg Freisaal,13.0525,47.79083,420.0,1987-01-01 00:00:00+00:00,2005-12-31 00:00:00+00:00,Salzburg,True,True,,145,1987-01-01 00:00:00+00:00,2005-12-31 23:59:59+00:00,nein
6305,11350,Salzburg Freisaal,13.05417,47.79111,419.0,1992-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,145,2006-01-01 00:00:00+00:00,,nein
6306,,Salzburg,13.04722,47.79861,424.0,1874-01-01 00:00:00+00:00,1903-07-31 00:00:00+00:00,Salzburg,False,False,,131,1874-01-01 00:00:00+00:00,1903-07-31 23:59:59+00:00,nein
6308,,Salzburg Festung,13.05,47.799999,542.0,1930-12-01 00:00:00+00:00,1931-12-24 00:00:00+00:00,Salzburg,True,False,,,,,nein
6315,,Salzburg Lehrerseminar,13.033334,47.783333,419.0,1903-08-01 00:00:00+00:00,1941-02-28 00:00:00+00:00,Salzburg,False,False,,131,1903-08-01 00:00:00+00:00,1939-02-28 23:59:59+00:00,nein
6400,,Irrsdorf,13.273334,47.973888,570.0,1974-06-01 00:00:00+00:00,2000-12-31 00:00:00+00:00,Salzburg,True,False,,,,,nein
6409,,Mattsee,13.1,47.966667,525.0,1949-06-17 00:00:00+00:00,1971-07-31 00:00:00+00:00,Salzburg,False,False,,60,1949-06-17 00:00:00+00:00,1971-07-31 23:59:59+00:00,nein
6410,,Mattsee,13.1,47.96667,508.0,1971-08-01 00:00:00+00:00,1985-11-30 00:00:00+00:00,Salzburg,False,False,,60,1971-08-01 00:00:00+00:00,1985-11-30 23:59:59+00:00,nein
6411,11152,Mattsee,13.1,47.97,504.0,1985-12-01 00:00:00+00:00,1998-10-31 00:00:00+00:00,Salzburg,True,False,,60,1985-12-01 00:00:00+00:00,1998-10-31 23:59:59+00:00,nein
6412,11152,Mattsee,13.10694,47.97778,508.0,1998-11-01 00:00:00+00:00,1999-01-31 00:00:00+00:00,Salzburg,True,False,,60,1998-11-01 00:00:00+00:00,1999-01-31 23:59:59+00:00,nein
6413,,Mattsee,13.1,47.96667,508.0,1999-02-01 00:00:00+00:00,1999-10-31 00:00:00+00:00,Salzburg,False,False,,60,1999-02-01 00:00:00+00:00,1999-10-31 23:59:59+00:00,nein
6415,11152,Mattsee,13.10556,47.97722,502.0,1999-10-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,True,,60,1999-11-01 00:00:00+00:00,,nein
6430,11373,Kolomansberg,13.27519,47.87772,1113.1,2008-06-25 00:00:00+00:00,2100-12-31 00:00:00+00:00,Salzburg,True,False,,,,,nein
6501,11352,Frankenmarkt,13.42306,47.99139,565.0,2004-03-01 00:00:00+00:00,2017-03-25 00:00:00+00:00,Oberösterreich,False,False,,190,2004-03-01 00:00:00+00:00,2017-03-25 23:59:59+00:00,nein
6505,,Seewalchen,13.6,47.950001,493.0,1983-05-01 00:00:00+00:00,1989-06-30 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
6506,,Seewalchen,13.566667,47.950001,501.0,1993-05-01 00:00:00+00:00,2000-11-16 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
6507,,Mondsee,13.35,47.866665,480.0,1942-05-01 00:00:00+00:00,1945-02-28 00:00:00+00:00,Oberösterreich,False,False,,163,1942-05-01 00:00:00+00:00,1945-02-28 23:59:59+00:00,nein
6508,,Mondsee,13.35,47.866665,482.0,1936-01-01 00:00:00+00:00,1943-07-31 00:00:00+00:00,Oberösterreich,False,False,,163,1936-01-01 00:00:00+00:00,1942-04-30 23:59:59+00:00,nein
6509,,Mondsee Plomberg,13.35,47.849998,488.0,1946-10-01 00:00:00+00:00,1949-09-30 00:00:00+00:00,Oberösterreich,False,False,,163,1946-10-01 00:00:00+00:00,1949-09-30 23:59:59+00:00,nein
6510,,Mondsee,13.36889,47.84778,491.0,1964-11-01 00:00:00+00:00,2008-12-31 00:00:00+00:00,Oberösterreich,True,False,,163,1964-11-01 00:00:00+00:00,2008-12-31 23:59:59+00:00,nein
6512,11153,Mondsee,13.34722,47.85083,480.5,2009-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Oberösterreich,True,True,,163,2009-01-01 00:00:00+00:00,,nein
6515,,Mondsee,13.35,47.866665,488.0,1950-03-16 00:00:00+00:00,1964-10-31 00:00:00+00:00,Oberösterreich,True,False,,163,1950-03-16 00:00:00+00:00,1964-10-31 23:59:59+00:00,nein
6520,,Talham,13.483334,47.933334,539.0,1953-06-24 00:00:00+00:00,1982-11-30 00:00:00+00:00,Oberösterreich,False,False,,,,,nein
